HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	S_inRaw_N	S_inRaw_E	S_inRaw_S	S_inRaw_W	S_inAfterGO_N	S_inAfterGO_E	S_inAfterGO_S	S_inAfterGO_W	S_inFiltered_N	S_inFiltered_E	S_inFiltered_S	S_inFiltered_W	A_inL	A_inR	A_outPwmL	A_outPwmR	C_PID_in	C_PID_p	C_PID_i	C_PID_d	C_PID_out	C_outError	C_outRaw	C_outNormalized	
1526703360	64370564	64369	1	25	0	75	20	27	0	0	0	0	0	0	0	0	0	0	0	0	227	605	327	207	1509991935	224	605	331	201	0.178364	0.681313	0.167244	-0.011942	-nan	0.678123320814	0.187661852298	-0.0138841032313	-1	1	-25	75	0.692007424045	1.03801113607	0	0	1.03801113607	0.692007424045	1.03801113607	1	
1526703360	64381988	64381	1	25	0	75	19	28	0	0	0	0	0	0	0	0	0	0	0	0	227	603	322	211	1509991935	227	605	327	207	0.18275	0.681313	0.1629	-0.006824	-nan	0.680596398383	0.187801338236	-0.0143981940419	-1	1	-25	75	0.694994592424	1.04249188864	0	0	1.04249188864	0.694994592424	1.04249188864	1	
1526703360	64391316	64391	1	25	0	75	19	29	0	0	0	0	0	0	0	0	0	0	0	0	225	603	311	213	1509991935	227	603	322	211	0.18275	0.678515	0.15747	-0.003412	-nan	0.682762568228	0.187714353728	-0.0147886793647	-1	1	-25	75	0.697551247593	1.04632687139	0	0	1.04632687139	0.697551247593	1.04632687139	1	
1526703360	64400668	64400	1	25	0	75	18	31	14	0	0	0	0	0	0	0	0	0	0	0	223	602	303	211	1509991935	225	603	311	213	0.179826	0.678515	0.145524	-0.001706	-nan	0.684630464074	0.187373395986	-0.015039339403	-1	1	-25	75	0.699669803477	1.04950470522	0	0	1.04950470522	0.699669803477	1.04950470522	1	
1526703360	64412076	64411	1	25	0	75	18	32	0	0	0	0	0	0	0	0	0	0	0	0	222	596	295	210	1509991935	223	602	303	211	0.176902	0.677116	0.136836	-0.003412	-nan	0.686213034361	0.186733912685	-0.0151548891222	-1	1	-25	75	0.701367923483	1.05205188523	0	0	1.05205188523	0.701367923483	1.05205188523	1	
1526703360	64421428	64420	1	25	0	75	17	33	0	0	0	0	0	0	0	0	0	0	0	0	226	593	291	211	1509991935	222	596	295	210	0.17544	0.668722	0.128148	-0.004265	-nan	0.687509431946	0.185759394595	-0.0151565516503	-1	1	-25	75	0.702665983597	1.05399897539	0	0	1.05399897539	0.702665983597	1.05399897539	1	
1526703360	64430764	64430	1	25	0	75	16	35	0	0	0	0	0	0	0	0	0	0	0	0	218	591	283	215	1509991935	226	593	291	211	0.181288	0.664525	0.123804	-0.003412	-nan	0.688498010982	0.184436492681	-0.0150638493077	-1	1	-25	75	0.703561860289	1.05534279043	0	0	1.05534279043	0.703561860289	1.05534279043	1	
1526703360	64442172	64441	1	25	0	75	16	36	0	0	0	0	0	0	0	0	0	0	0	0	210	590	270	215	1509991935	218	591	283	215	0.169592	0.661727	0.115116	0	-nan	0.689168208955	0.18276545998	-0.0148804554963	-1	1	-25	75	0.704048664451	1.05607299668	0	0	1.05607299668	0.704048664451	1.05607299668	1	
1526703360	64451500	64450	1	25	0	75	16	37	0	0	0	0	0	0	0	0	0	0	0	0	211	590	266	216	1509991935	210	590	270	215	0.157896	0.660328	0.100998	0	-nan	0.689530894796	0.180729079052	-0.0146032410162	-1	1	-25	75	0.704134135812	1.05620120372	0	0	1.05620120372	0.704134135812	1.05620120372	1	
1526703360	64460844	64460	1	25	0	75	15	39	0	0	0	0	0	0	0	0	0	0	0	0	205	589	255	216	1509991935	211	590	266	216	0.159358	0.660328	0.096654	0.000853	-nan	0.6896097825	0.178304023603	-0.014237346414	-1	1	-25	75	0.703847128914	1.05577069337	0	-0	1.05577069337	0.703847128914	1.05577069337	1	
